Date,Open,High,Low,Close,Adj Close,Volume
2020-10-20,8.121000,8.121000,8.121000,8.121000,8.121000,0
2020-10-21,8.103300,8.103300,8.103300,8.103300,8.103300,0
2020-10-22,8.113100,8.113100,8.113100,8.113100,8.113100,0
2020-10-23,8.135800,8.135800,8.135800,8.135800,8.135800,0
2020-10-26,8.045900,8.045900,8.045900,8.045900,8.045900,0
2020-10-27,8.012900,8.012900,8.012900,8.012900,8.012900,0
2020-10-28,7.878900,7.878900,7.878900,7.878900,7.878900,0
2020-10-29,7.914800,7.914800,7.914800,7.914800,7.914800,0
2020-10-30,7.856700,7.856700,7.856700,7.856700,7.856700,0
2020-11-02,7.890000,7.890000,7.890000,7.890000,7.890000,0
2020-11-03,7.970700,7.970700,7.970700,7.970700,7.970700,0
2020-11-04,8.082400,8.082400,8.082400,8.082400,8.082400,0
2020-11-05,8.175900,8.175900,8.175900,8.175900,8.175900,0
2020-11-06,8.179500,8.179500,8.179500,8.179500,8.179500,0
2020-11-09,8.225800,8.225800,8.225800,8.225800,8.225800,0
2020-11-10,8.240900,8.240900,8.240900,8.240900,8.240900,0
2020-11-11,8.309900,8.309900,8.309900,8.309900,8.309900,0
2020-11-12,8.274300,8.274300,8.274300,8.274300,8.274300,0
2020-11-13,8.348200,8.348200,8.348200,8.348200,8.348200,0
2020-11-16,8.401600,8.401600,8.401600,8.401600,8.401600,0
2020-11-17,8.397300,8.397300,8.397300,8.397300,8.397300,0
2020-11-18,8.341400,8.341400,8.341400,8.341400,8.341400,0
2020-11-19,8.335700,8.335700,8.335700,8.335700,8.335700,0
2020-11-20,8.347200,8.347200,8.347200,8.347200,8.347200,0
2020-11-23,8.371800,8.371800,8.371800,8.371800,8.371800,0
2020-11-24,8.424900,8.424900,8.424900,8.424900,8.424900,0
2020-11-25,8.416100,8.416100,8.416100,8.416100,8.416100,0
2020-11-26,8.418400,8.418400,8.418400,8.418400,8.418400,0
2020-11-27,8.450500,8.450500,8.450500,8.450500,8.450500,0
2020-11-30,8.384600,8.384600,8.384600,8.384600,8.384600,0
2020-12-01,8.433700,8.433700,8.433700,8.433700,8.433700,0
2020-12-02,8.424800,8.424800,8.424800,8.424800,8.424800,0
2020-12-03,8.419100,8.419100,8.419100,8.419100,8.419100,0
2020-12-04,8.436800,8.436800,8.436800,8.436800,8.436800,0
2020-12-07,8.433000,8.433000,8.433000,8.433000,8.433000,0
2020-12-08,8.465400,8.465400,8.465400,8.465400,8.465400,0
2020-12-09,8.432000,8.432000,8.432000,8.432000,8.432000,0
2020-12-10,8.407600,8.407600,8.407600,8.407600,8.407600,0
2020-12-11,8.405500,8.405500,8.405500,8.405500,8.405500,0
2020-12-14,8.378100,8.378100,8.378100,8.378100,8.378100,0
2020-12-15,8.405700,8.405700,8.405700,8.405700,8.405700,0
2020-12-16,8.447600,8.447600,8.447600,8.447600,8.447600,0
2020-12-17,8.487600,8.487600,8.487600,8.487600,8.487600,0
2020-12-18,8.495000,8.495000,8.495000,8.495000,8.495000,0
2020-12-21,8.482200,8.482200,8.482200,8.482200,8.482200,0
2020-12-22,8.497500,8.497500,8.497500,8.497500,8.497500,0
2020-12-23,8.495700,8.495700,8.495700,8.495700,8.495700,0
2020-12-24,8.493300,8.493300,8.493300,8.493300,8.493300,0
2020-12-29,8.524300,8.524300,8.524300,8.524300,8.524300,0
2020-12-30,8.521800,8.521800,8.521800,8.521800,8.521800,0
2020-12-31,8.424500,8.424500,8.424500,8.424500,8.424500,0
2021-01-04,8.417500,8.417500,8.417500,8.417500,8.417500,0
2021-01-05,8.440400,8.440400,8.440400,8.440400,8.440400,0
2021-01-06,8.469100,8.469100,8.469100,8.469100,8.469100,0
2021-01-07,8.541500,8.541500,8.541500,8.541500,8.541500,0
2021-01-08,8.600600,8.600600,8.600600,8.600600,8.600600,0
2021-01-11,8.585500,8.585500,8.585500,8.585500,8.585500,0
2021-01-12,8.574200,8.574200,8.574200,8.574200,8.574200,0
2021-01-13,8.563600,8.563600,8.563600,8.563600,8.563600,0
2021-01-14,8.545500,8.545500,8.545500,8.545500,8.545500,0
2021-01-15,8.534700,8.534700,8.534700,8.534700,8.534700,0
2021-01-18,8.549900,8.549900,8.549900,8.549900,8.549900,0
2021-01-19,8.583200,8.583200,8.583200,8.583200,8.583200,0
2021-01-20,8.606600,8.606600,8.606600,8.606600,8.606600,0
2021-01-21,8.590000,8.590000,8.590000,8.590000,8.590000,0
2021-01-22,8.605000,8.605000,8.605000,8.605000,8.605000,0
2021-01-25,8.629100,8.629100,8.629100,8.629100,8.629100,0
2021-01-26,8.581600,8.581600,8.581600,8.581600,8.581600,0
2021-01-27,8.464400,8.464400,8.464400,8.464400,8.464400,0
2021-01-28,8.541200,8.541200,8.541200,8.541200,8.541200,0
2021-01-29,8.390300,8.390300,8.390300,8.390300,8.390300,0
2021-02-01,8.540700,8.540700,8.540700,8.540700,8.540700,0
2021-02-02,8.595800,8.595800,8.595800,8.595800,8.595800,0
2021-02-03,8.596900,8.596900,8.596900,8.596900,8.596900,0
2021-02-04,8.652500,8.652500,8.652500,8.652500,8.652500,0
2021-02-05,8.664800,8.664800,8.664800,8.664800,8.664800,0
2021-02-08,8.707600,8.707600,8.707600,8.707600,8.707600,0
2021-02-09,8.706700,8.706700,8.706700,8.706700,8.706700,0
2021-02-10,8.708400,8.708400,8.708400,8.708400,8.708400,0
2021-02-11,8.726800,8.726800,8.726800,8.726800,8.726800,0
2021-02-12,8.761700,8.761700,8.761700,8.761700,8.761700,0
2021-02-16,8.750100,8.750100,8.750100,8.750100,8.750100,0
2021-02-17,8.731700,8.731700,8.731700,8.731700,8.731700,0
2021-02-18,8.687900,8.687900,8.687900,8.687900,8.687900,0
2021-02-19,8.655500,8.655500,8.655500,8.655500,8.655500,0
2021-02-22,8.596000,8.596000,8.596000,8.596000,8.596000,0
2021-02-23,8.572600,8.572600,8.572600,8.572600,8.572600,0
2021-02-24,8.583600,8.583600,8.583600,8.583600,8.583600,0
2021-02-25,8.484200,8.484200,8.484200,8.484200,8.484200,0
2021-02-26,8.481200,8.481200,8.481200,8.481200,8.481200,0
2021-03-01,8.589600,8.589600,8.589600,8.589600,8.589600,0
2021-03-02,8.551300,8.551300,8.551300,8.551300,8.551300,0
2021-03-03,8.484300,8.484300,8.484300,8.484300,8.484300,0
2021-03-04,8.393400,8.393400,8.393400,8.393400,8.393400,0
2021-03-05,8.495100,8.495100,8.495100,8.495100,8.495100,0
2021-03-08,8.466700,8.466700,8.466700,8.466700,8.466700,0
2021-03-09,8.553500,8.553500,8.553500,8.553500,8.553500,0
2021-03-10,8.580800,8.580800,8.580800,8.580800,8.580800,0
2021-03-11,8.620800,8.620800,8.620800,8.620800,8.620800,0
2021-03-12,8.577000,8.577000,8.577000,8.577000,8.577000,0
2021-03-15,8.621700,8.621700,8.621700,8.621700,8.621700,0
2021-03-16,8.599500,8.599500,8.599500,8.599500,8.599500,0
